"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","192","本山慈恩寺本堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19080423","","山形県","山形県寒河江市大字慈恩寺","","本山慈恩寺","","38.41024585000000","140.25081582000000"
"102","177","立石寺三重小塔","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19520719","","山形県","山形県山形市大字山寺","","立石寺","","38.31499283000000","140.43413135000000"
"102","176","立石寺中堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町中期","19080423","","山形県","山形県山形市大字山寺","","立石寺","","38.31259495000000","140.43739009000000"
"102","194","若松寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19630701","","山形県","山形県天童市大字山元","","若松寺","","38.36317337000000","140.41936142000000"
"102","392","円通寺表門","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19160524","","栃木県","栃木県芳賀郡益子町大字大沢","","円通寺","","36.48680636000000","140.12379284000000"
"102","389","西明寺三重塔","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19080801","","栃木県","栃木県芳賀郡益子町大字益子","","西明寺","","36.45250106000000","140.11716170000000"
"102","391","西明寺本堂内厨子","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町中期","19620621","","栃木県","栃木県芳賀郡益子町大字益子","","西明寺","","36.45280842000000","140.11737965000000"
"102","390","西明寺楼門","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19080801","","栃木県","栃木県芳賀郡益子町大字益子","","西明寺","","36.45247871000000","140.11702758000000"
"102","395","地蔵院本堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19160524","","栃木県","栃木県芳賀郡益子町大字上大羽","","地蔵院","","36.45073730000000","140.13892258000000"
"102","388","専修寺","総門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19810605","","栃木県","栃木県真岡市高田","","専修寺","","36.39346682000000","140.02379223000000"
"102","387","専修寺","楼門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19810605","","栃木県","栃木県真岡市高田","","専修寺","","36.39352794000000","140.02321320000000"
"102","386","専修寺","如来堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19810605","","栃木県","栃木県真岡市高田","","専修寺","","36.39362744000000","140.02272438000000"
"102","385","専修寺","御影堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19810605","","栃木県","栃木県真岡市高田","","専修寺","","36.39422073000000","140.02324593000000"
"102","00004991","大雄寺","本堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004992","大雄寺","庫裏","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004993","大雄寺","禅堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004994","大雄寺","鐘楼","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004995","大雄寺","経蔵","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004996","大雄寺","総門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004997","大雄寺","北東廻廊","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004998","大雄寺","南東廻廊","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","00004999","大雄寺","南西廻廊","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","20170731","","栃木県","栃木県大田原市黒羽田町字黒羽山","","大雄寺","","36.87076944000000","140.01560250000000"
"102","308","東照宮","御旅所神饌所","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75354846000000","139.60300526000000"
"102","307","東照宮","御旅所拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75360059000000","139.60325776000000"
