"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","1184","名古屋城","西南隅櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19301211","","愛知県","愛知県名古屋市中区本丸1番地","","名古屋市","","35.18433769000000","136.89901659000000"
"102","1185","名古屋城","東南隅櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19301211","","愛知県","愛知県名古屋市中区本丸1番地","","名古屋市","","35.18435199000000","136.90062548000000"
"102","1186","名古屋城","西北隅櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19301211","","愛知県","愛知県名古屋市中区本丸1番地","","名古屋市","","35.18655394000000","136.89692058000000"
"102","1189","名古屋城旧二之丸東二之門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19750623","","愛知県","愛知県名古屋市中区本丸1番地","","国(財務省)","名古屋市","35.18546799000000","136.90069177000000"
"102","1188","名古屋城二之丸大手二之門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19750623","","愛知県","愛知県名古屋市中区二之丸1番地","","国(財務省)","名古屋市","35.18293611000000","136.90068056000000"
"102","1376","篠津神社表門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19240415","","滋賀県","滋賀県大津市中庄一丁目","","篠津神社","","34.99063455000000","135.89326733000000"
"102","1375","膳所神社表門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19240415","","滋賀県","滋賀県大津市膳所一丁目","","膳所神社","","34.99485007000000","135.89092715000000"
"102","1399","彦根城馬屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸中期","19630701","","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27524771000000","136.25463563000000"
"102","1395","彦根城太鼓門及び続櫓","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19510922","","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27600883000000","136.25213400000000"
"102","1393","彦根城天守、附櫓及び多聞櫓","天守","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","桃山","19510922","19520329","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27646624000000","136.25184441000000"
"102","1394","彦根城天守、附櫓及び多聞櫓","附櫓及び多聞櫓","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","桃山","19510922","19520329","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27657292000000","136.25184837000000"
"102","1396","彦根城天秤櫓","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19510922","","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27552828000000","136.25249619000000"
"102","1397","彦根城西の丸三重櫓及び続櫓","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19510922","","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27783211000000","136.25055745000000"
"102","1398","彦根城二の丸佐和口多聞櫓","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸後期","19510922","","滋賀県","滋賀県彦根市金亀町","","彦根市","","35.27483830000000","136.25490404000000"
"102","1422","鞭崎神社表門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19240415","","滋賀県","滋賀県草津市矢橋町","","鞭崎神社","","35.00762775000000","135.92687333000000"
"102","2122","大阪城","六番櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68412640000000","135.52416006000000"
"102","2121","大阪城","一番櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68434127000000","135.52800580000000"
"102","2115","大阪城","塀（大手門南方塀）","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68496371000000","135.52306379000000"
"102","2114","大阪城","大手門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68508520000000","135.52305015000000"
"102","2116","大阪城","塀（大手門北方塀）","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68520932000000","135.52303296000000"
"102","2126","大阪城","桜門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","明治","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68522179000000","135.52569980000000"
"102","2118","大阪城","多聞櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68536124000000","135.52324972000000"
"102","2117","大阪城","塀（多聞櫓北方塀）","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68549955000000","135.52299878000000"
"102","2119","大阪城","千貫櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68566292000000","135.52289126000000"
"102","2124","大阪城","金蔵","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸末期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68655164000000","135.52647379000000"
"102","2125","大阪城","金明水井戸屋形","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68704167000000","135.52584431000000"
"102","2120","大阪城","乾櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68796419000000","135.52147841000000"
"102","2123","大阪城","焔硝蔵","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸中期","19530613","","大阪府","大阪府大阪市中央区大阪城","","国(文部科学省)","大阪市","34.68836384000000","135.52348383000000"
"102","2354","明石城","巽櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19570618","","兵庫県","兵庫県明石市明石公園1-27","","兵庫県","","34.65213257000000","134.99227569000000"
"102","2355","明石城","坤櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19570618","","兵庫県","兵庫県明石市明石公園1-27","","兵庫県","","34.65227985000000","134.99115637000000"
"102","2298","姫路城","カの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83813355000000","134.69204198000000"
"102","2335","姫路城","ワの櫓東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83814133000000","134.69168409000000"
"102","2297","姫路城","ワの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83819968000000","134.69136510000000"
"102","2341","姫路城","太鼓櫓南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83820108000000","134.69390445000000"
"102","2336","姫路城","カの櫓北方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83833195000000","134.69216490000000"
"102","2296","姫路城","レの渡櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83847762000000","134.69129913000000"
"102","2279","姫路城","チの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83849618000000","134.69347397000000"
"102","2338","姫路城","菱の門南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83849834000000","134.69248066000000"
"102","2339","姫路城","菱の門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83857204000000","134.69300921000000"
"102","2337","姫路城","菱の門西方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83860035000000","134.69236407000000"
"102","2280","姫路城","リの一渡櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83864167000000","134.69343333000000"
"102","2299","姫路城","菱の門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83867908000000","134.69245091000000"
"102","2286","姫路城","太鼓櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83869762000000","134.69419713000000"
"102","2309","姫路城","りの門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83875175000000","134.69417106000000"
"102","2285","姫路城","帯郭櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83876375000000","134.69444221000000"
"102","2281","姫路城","リの二渡櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83877500000000","134.69335833000000"
"102","2343","姫路城","帯郭櫓北方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83882326000000","134.69460137000000"
"102","2310","姫路城","ぬの門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83883766000000","134.69346578000000"
"102","2342","姫路城","太鼓櫓北方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83885067000000","134.69432982000000"
"102","2295","姫路城","ヲの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83888418000000","134.69105181000000"
"102","2333","姫路城","ろの門西南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83894182000000","134.69223166000000"
"102","2284","姫路城","帯の櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83900107000000","134.69453807000000"
"102","2294","姫路城","タの渡櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83900545000000","134.69103113000000"
"102","2314","姫路城","との四門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83905300000000","134.69495493000000"
"102","2307","姫路城","との四門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83907125000000","134.69489816000000"
"102","2315","姫路城","との四門西方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83909066000000","134.69484705000000"
"102","2340","姫路城","いの門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83910688000000","134.69287607000000"
"102","2293","姫路城","ルの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83912943000000","134.69108889000000"
