"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度","source_query"
"102","164","古四王神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町後期","19080423","","秋田県","秋田県大仙市大曲字古四王際","","古四王神社","","39.43797131000000","140.49894954000000","102-shrine"
"102","155","佐竹家霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県秋田市泉三嶽根","","","天徳寺","39.73914510000000","140.11934308000000","102-shrine"
"102","167","神明社観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19521122","","秋田県","秋田県潟上市飯田川飯塚字中山","","神明社","","39.89280804000000","140.08066423000000","102-shrine"
"102","171","波宇志別神社神楽殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町中期","19800126","","秋田県","秋田県横手市大森町八沢木","","波宇志別神社","","39.36779120000000","140.36570697000000","102-shrine"
"102","157","八幡神社","若宮八幡宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県大館市字八幡","","八幡神社","","40.27406453000000","140.57191620000000","102-shrine"
"102","156","八幡神社","正八幡宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県大館市字八幡","","八幡神社","","40.27413091000000","140.57189850000000","102-shrine"
"102","173","三輪神社","境内社須賀神社本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19540320","","秋田県","秋田県雄勝郡羽後町杉宮字宮林","","三輪神社","","39.19733379000000","140.43291459000000","102-shrine"
"102","172","三輪神社","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町後期","19540320","","秋田県","秋田県雄勝郡羽後町杉宮字宮林","","三輪神社","","39.19737016000000","140.43265866000000","102-shrine"
"102","3783","飯野八幡宮","楼門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","20021226","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.05978558000000","140.88221968000000","102-shrine"
"102","3781","飯野八幡宮","神楽殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","20021226","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.06003463000000","140.88224188000000","102-shrine"
